6808,-626,1210,2908,-3861
4784,2596,-6225,866,8076
-4379,3940,3721,-3245,3728
9382,4395,2556,-9988,-210
-867,-3085,-9046,7067,-9578
-2485,-7025,496,6486,629
6847,-329,-8305,4364,-7149
2879,-1088,-9627,-7003,8051
8494,6178,8992,-9768,5445
9550,3053,-909,-522,3219
7307,2452,-7759,-2536,4246
-630,-9633,8586,-2839,-2593
-5136,-1158,-6011,2282,-6253
9896,-444,7151,-1,-7147
4064,-9769,8388,-3861,-9250
9686,-9894,9914,-8803,-5626
3006,3556,7333,-9572,9749
-8204,-839,-1701,-3227,-287
-2771,4016,7197,-8002,226
-7592,-9034,-9301,-6642,7749
-803,5142,4712,4977,-2356
-9257,9339,-4053,9683,1431
-5804,-3417,9296,9822,-9268
6716,5298,-6755,-5286,-5582
31,-6957,-8083,2495,9281
-7811,9824,292,431,-4940
3187,5383,8225,3015,2196
5455,9357,-9445,6723,699
1956,-2577,4457,-1034,7203
-6316,869,1338,-5591,-537
-2200,9300,-7371,6769,7735
2794,-4104,-3308,5656,2360
-7263,-9334,-2382,8595,8285
-4084,-7982,-6905,4107,-5406
9313,495,1261,6155,5475
8820,-6276,9667,2718,3838
4917,5785,-7863,5582,-779
-4501,-3529,2485,-2518,4859
8748,-3702,-9794,-2295,-7212
3170,-1800,-6045,-8145,2708
-773,2698,-5182,2881,9101
2882,700,5273,3776,-6144
1481,-5327,-6923,9570,-6996
-2943,9789,-755,-7593,-7324
2477,8241,-2253,-223,9374
-58,-8430,-7430,-8015,4729
-8149,6130,8503,3931,-7886
-3973,4551,5909,-5903,8033
336,673,-2941,4124,174
6215,3961,9602,951,-1485
7908,-2267,-6149,8098,-7075
9704,8489,-1190,8572,-2171
1543,-4238,2162,8957,-32
-7173,-2982,1191,-4558,3297
-440,9272,-3937,-6835,5889
1097,68,-8124,914,5448
-7195,-7372,9152,-1623,-1289
6403,-599,-182,-6085,-3307
-2842,-7933,-5362,3098,5531
5521,-5666,3478,9042,-9481
-5184,-1925,6523,-1616,1461
-5319,9746,-5484,8164,-3491
40,7628,5036,9714,-1422
3753,-7282,9073,9992,2985
-7852,5530,-7513,4524,8252
-4482,-9999,9349,1663,-5147
-1616,4628,-8920,-4711,460
-7154,-2755,7364,4618,-8786
7616,-9655,-4858,2784,4503
-7314,-530,-4119,9564,-5701
6644,-8869,2742,-3606,-5715
-5432,7312,9504,1898,7154
-4393,-2292,362,5686,8063
-8474,6376,-563,-8110,3929
8997,-1958,9488,-3243,-7080
9371,-8587,-9183,-7635,-4149
-2556,4305,6911,-1130,-7668
5688,-8292,-1215,1412,-8483
-3389,-8563,-6133,9357,-6255
9608,-4041,8296,-6318,-4250
4973,-8145,7018,-1062,-5848
-4023,-1402,-94,-4286,6029
4654,4117,-830,3632,-8556
6235,4815,-7168,-1506,-7981
3678,-1735,6786,-7392,7008
-2299,-2697,-1728,-5362,-3455
-7305,-1637,3377,-8948,8660
